"Nº","TITULO","AUTOR","URL","UBICACION","IMAGEN","FECHA","DISTRITO"
332,"Las Cuatro Estaciones - El Invierno","Anónimo","http://esculturasdegrancanaria.blogia.com/2008/030203-escultura-las-cuatro-estaciones-el-verano.php","Zona limítrofe entre los barrios de Triana y Vegueta","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/332.JPG",1815,"DISTRITO VEGUETA, CONO SUR Y TAFIRA"
333,"Las Cuatro Estaciones - El Otoño","Anónimo","http://fotografiasdeesculturas.blogspot.com.es/2011/01/esculturas-de-las-cuatro-estaciones.html","Zona limítrofe entre los barrios de Triana y Vegueta","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/333.JPG",1815,"DISTRITO VEGUETA, CONO SUR Y TAFIRA"
334,"Las Cuatro Estaciones - El Verano","Anónimo","http://historiadegrancanaria.blogspot.com.es/2010/03/esculturas-de-1815.html","Zona limítrofe entre los barrios de Triana y Vegueta","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/334.JPG",1815,"DISTRITO VEGUETA, CONO SUR Y TAFIRA"
335,"Las Cuatro Estaciones - La Primavera","Anónimo","http://esculturasbermaxo.blogspot.com.es/2013/11/escultura-las-cuatro-estaciones-en-las.html","Zona limítrofe entre los barrios de Triana y Vegueta","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/335.JPG","1815 ( la original )","DISTRITO VEGUETA, CONO SUR Y TAFIRA"
339,"Perros de la Plaza de Santa Ana  y Cabezas de León","Henri Alfred Jacquemart","http://www.laspalmasgc.es/views/La%20Ciudad/Historia/Cronista%20de%20la%20Ciudad/documentos/120203PerrosSantaAna.pdf","Plaza de Santa Ana / Cl. Obispo Codina","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/339.JPG","Circa última década del siglo XIX","DISTRITO VEGUETA, CONO SUR Y TAFIRA"
340,"Arte","Boutellier","http://www.urbelaspalmas.com/casas-consistoriales-para-caballeros-de-mesa-larga/","Plaza de Santa Ana","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/340.JPG",1909,"DISTRITO VEGUETA, CONO SUR Y TAFIRA"
341,"Comercio","Boutellier","http://www.urbelaspalmas.com/casas-consistoriales-para-caballeros-de-mesa-larga/","Plaza de Santa Ana","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/341.JPG",1909,"DISTRITO VEGUETA, CONO SUR Y TAFIRA"
342,"Navegación","Boutellier","http://www.urbelaspalmas.com/casas-consistoriales-para-caballeros-de-mesa-larga/","Plaza de Santa Ana","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/342.JPG",1909,"DISTRITO VEGUETA, CONO SUR Y TAFIRA"
343,"Agricultura","Boutellier","http://www.urbelaspalmas.com/casas-consistoriales-para-caballeros-de-mesa-larga/","Plaza de Santa Ana","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/343.JPG",1909,"DISTRITO VEGUETA, CONO SUR Y TAFIRA"
355,"Monumento a D. Diego Mesa de León","Plácido Fleitas Hernández","http://es.wikipedia.org/wiki/Pl%C3%A1cido_Fleitas","Plazoleta Diego Mesa de León","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/355.JPG",1957,"DISTRITO VEGUETA, CONO SUR Y TAFIRA"
